date>gold_price
2011-01-01>1360.475
2011-02-01>1371.313
2011-03-01>1422.848
2011-04-01>1474.431
2011-05-01>1512.188
2011-06-01>1528.38
2011-07-01>1568.526
2011-08-01>1759.5
2011-09-01>1780.648
2011-10-01>1667.893
2011-11-01>1735.977
2011-12-01>1652.725
2012-01-01>1656.095
2012-02-01>1743.095
2012-03-01>1675.057
2012-04-01>1648.539
2012-05-01>1585.114
2012-06-01>1595.632
2012-07-01>1592.784
2012-08-01>1625.682
2012-09-01>1741.925
2012-10-01>1746.348
2012-11-01>1724.352
2012-12-01>1687.342
2013-01-01>1671.886
2013-02-01>1630.688
2013-03-01>1591.013
2013-04-01>1485.905
2013-05-01>1416.143
2013-06-01>1342.7
2013-07-01>1284.348
2013-08-01>1345.048
2013-09-01>1348.464
2013-10-01>1314.402
2013-11-01>1277.417
2013-12-01>1221.588
2014-01-01>1243.068
2014-02-01>1298.713
2014-03-01>1336.56
2014-04-01>1299.175
2014-05-01>1288.913
2014-06-01>1277.857
2014-07-01>1312.989
2014-08-01>1297.005
2014-09-01>1241.33
2014-10-01>1223.565
2014-11-01>1176.413
2014-12-01>1200.44
2015-01-01>1249.333
2015-02-01>1231.1
2015-03-01>1180.636
2015-04-01>1198.253
2015-05-01>1197.684
2015-06-01>1182.248
2015-07-01>1131.58
2015-08-01>1117.525
2015-09-01>1124.905
2015-10-01>1157.123
2015-11-01>1088.388
2015-12-01>1068.317
2016-01-01>1095.655
2016-02-01>1194.893
2016-03-01>1246.312
2016-04-01>1241.452
2016-05-01>1259.755
2016-06-01>1273.58
2016-07-01>1337.429
2016-08-01>1340.861
2016-09-01>1326.618
2016-10-01>1268.929
2016-11-01>1240.293
2016-12-01>1152.165
2017-01-01>1192.648
2017-02-01>1233.39
2017-03-01>1231.063
2017-04-01>1267.15
2017-05-01>1245.25
2017-06-01>1261.277
2017-07-01>1235.1
2017-08-01>1281.72
2017-09-01>1317.045
2017-10-01>1280.677
2017-11-01>1283.189
2017-12-01>1265.674
2018-01-01>1332.809
2018-02-01>1333.775
2018-03-01>1325.562
2018-04-01>1335.332
2018-05-01>1303.618
2018-06-01>1282.126
2018-07-01>1238.064
2018-08-01>1201.859
2018-09-01>1199.198
2018-10-01>1214.726
2018-11-01>1221.275
2018-12-01>1249.887
2019-01-01>1291.63
2019-02-01>1319.755
2019-03-01>1302.286
2019-04-01>1287.65
2019-05-01>1282.46
2019-06-01>1358.488
2019-07-01>1414.611
2019-08-01>1497.102
2019-09-01>1510.336
2019-10-01>1494.765
2019-11-01>1471.921
2019-12-01>1480.025
2020-01-01>1560.668
2020-02-01>1598.818
2020-03-01>1593.764
2020-04-01>1680.03
2020-05-01>1715.697
2020-06-01>1734.032
2020-07-01>1840.807
2020-08-01>1968.63
2020-09-01>1921.92
2020-10-01>1900.27
2020-11-01>1866.3
2020-12-01>1858.42
